TOPIC,LINK,AGENCY,AMOUNT,CLOSE DATE,ADDITIONAL INFO
N192-075: Secure Communications Link Between Robotics and Autonomous Systems,https://www.navysbir.com/n19_2/N192-075.htm,Navy - DoD,,7/1/19,
N192-076: Fiber Optic Pressure Sensing for Military Aircraft (MIL-Aero) Environments,https://www.navysbir.com/n19_2/N192-076.htm,Navy - DoD,,7/1/19,
N192-077: Apparatus for Characterizing Mixed Failure Modes in Cross Deck Pendants,https://www.navysbir.com/n19_2/N192-077.htm,Navy - DoD,,7/1/19,
N192-078: Network Retention During Jamming Mission,https://www.navysbir.com/n19_2/N192-078.htm,Navy - DoD,,7/1/19,
N192-079: Unmanned Airborne Reconfigurable Naval Communications Network,https://www.sbir.gov/sbirsearch/detail/1606257,Navy - DoD,,7/1/19,
N192-080: Open Architecture Development Environment for Radar Mode Design,https://www.navysbir.com/n19_2/N192-080.htm,Navy - DoD,,7/1/19,
N192-081: Improved Data Tracking System for Crew-Served Weapon Systems,https://www.navysbir.com/n19_2/N192-081.htm,Navy - DoD,,7/1/19,
N192-082: Mobile Phased Array Antenna for Robotic Autonomous Systems (RAS) Using Optical Broadband Communications,https://www.navysbir.com/n19_2/N192-082.htm,Navy - DoD,,7/1/19,
N192-083: Non-Traditional Airborne Anti-Submarine Warfare (ASW) System,https://www.navysbir.com/n19_2/N192-083.htm,Navy - DoD,,7/1/19,
N192-084: Room Temperature Shelf-Life Pre-Impregnated Carbon Fiber Fabric for use in Out-of-Autoclave Aircraft Repair,https://www.navysbir.com/n19_2/N192-084.htm,Navy - DoD,,7/1/19,
N192-085: Rapid Repair of Corroded Fastener Holes,https://www.navysbir.com/n19_2/N192-085.htm,Navy - DoD,,7/1/19,
N192-086: Advanced Signal Analysis Techniques for Use on Non-Periodic Radio Frequency Signals,https://www.navysbir.com/n19_2/N192-086.htm,Navy - DoD,,7/1/19,
N192-087: Headset Equivalent of Advanced Display Systems (HEADS),https://www.navysbir.com/n19_2/N192-087.htm,Navy - DoD,,7/1/19,
N192-088: Collision Avoidance System for Operations in Dense Airspace Environment,https://www.navysbir.com/n19_2/N192-088.htm,Navy - DoD,,7/1/19,
N192-089: Inverse Synthetic Aperture Radar (ISAR) Imaging in the Presence of Electronic Attack (EA),https://www.navysbir.com/n19_2/N192-089.htm,Navy - DoD,,7/1/19,
N192-090: Modern Forward Error Correction (FEC) and Automatic Repeat Request (ARQ) Algorithms for Tactical Data Links,https://www.sbir.gov/sbirsearch/detail/1606279,Navy - DoD,,7/1/19,
N192-091: Line-of-Sight (LOS) Low Probability of Detection/Intercept (LPD/LPI) Millimeter Wave Communication,https://www.navysbir.com/n19_2/N192-091.htm,Navy - DoD,,7/1/19,
N192-092: Distributed Sensing of Unsteady Surface Pressure Fields,https://www.navysbir.com/n19_2/N192-092.htm,Navy - DoD,,7/1/19,
N192-093: Threat Prioritization Decision Aid for Theater Anti-Submarine Warfare (TASW),https://www.navysbir.com/n19_2/N192-093.htm,Navy - DoD,,7/1/19,
N192-094: Multiplayer Serious Game for Anti-Submarine Warfare Sonar Operator Training,https://www.navysbir.com/n19_2/N192-094.htm,Navy - DoD,,7/1/19,
N192-095: Multi-Instruction Set Architecture (ISA) Processing with a Peripheral Component Interconnect express (PCIe),https://www.navysbir.com/n19_2/N192-095.htm,Navy - DoD,,7/1/19,
N192-096: Oxygen Delivery and Monitoring System,https://www.navysbir.com/n19_2/N192-096.htm,Navy - DoD,,7/1/19,
N192-097: Advanced Video Compression Capability,https://www.navysbir.com/n19_2/N192-097.htm,Navy - DoD,,7/1/19,
N192-098: Non-Explosive Wire Rope and Cable Cutter,https://www.navysbir.com/n19_2/N192-098.htm,Navy - DoD,,7/1/19,
N192-099: 3D Visualization Capability for Fleet Remotely Operated Vehicles (ROVs),https://www.navysbir.com/n19_2/N192-099.htm,Navy - DoD,,7/1/19,
N192-100: Passive Cooling for Aircraft Carrier Jet Blast Deflectors (JBD),https://www.navysbir.com/n19_2/N192-100.htm,Navy - DoD,,7/1/19,
N192-101: Unmanned Vehicle Launch & Recovery (L&R) for MK VI Patrol Boats,https://www.navysbir.com/n19_2/N192-101.htm,Navy - DoD,,7/1/19,
N192-102: Blind Mating Connection for 19-inch Electronic Industries Alliance Racks in AEGIS Computing Infrastructure,https://www.navysbir.com/n19_2/N192-102.htm,Navy - DoD,,7/1/19,
N192-103: Field Serviceable Non-Acoustic Data Logging Sensor Module for Towed Arrays,https://www.navysbir.com/n19_2/N192-103.htm,Navy - DoD,,7/1/19,
N192-104: Large Instantaneous Bandwidth High Dynamic Range Digitizer,https://navysbir.com/n19_2/N192-104.htm,Navy - DoD,,7/1/19,
N192-105: FireFly Based Network Switch,https://www.navysbir.com/n19_2/N192-105.htm,Navy - DoD,,7/1/19,
N192-106: Innovative Helicopter Hangar Door Seals,https://www.navysbir.com/n19_2/N192-106.htm,Navy - DoD,,7/1/19,
N192-107: Quiet Launch for 6-Inch Externally Stowed Devices,https://www.navysbir.com/n19_2/N192-107.htm,Navy - DoD,,7/1/19,
N192-108: Structurally Integrated Enclosure for AEGIS Combat System Computer Hardware,https://www.navysbir.com/n19_2/N192-108.htm,Navy - DoD,,7/1/19,
N192-109: Undersea Sensor Network Performance Modeling and Cost Tool,https://www.navysbir.com/n19_2/N192-109.htm,Navy - DoD,,7/1/19,
N192-111: Metal Additive Manufacturing of Pressure Vessel Experimental Models,https://www.navysbir.com/n19_2/N192-111.htm,Navy - DoD,,7/1/19,
N192-113: Combat System Dynamic Resource Management,https://www.navysbir.com/n19_2/N192-113.htm,Navy - DoD,,7/1/19,
N192-114: Improved Propulsion Technologies for Mine Countermeasures Unmanned Undersea Vehicle Systems,https://www.navysbir.com/n19_2/N192-114.htm,Navy - DoD,,7/1/19,
N192-115: Durable Foreign Object Debris (FOD) Screens for Air Cushion Vehicles,https://www.navysbir.com/n19_2/N192-115.htm,Navy - DoD,,7/1/19,
N192-116: Deep Submergence Tactical Acoustic Doppler Current Profiler (ADCP) and Doppler Velocity Logger (DVL),https://www.navysbir.com/n19_2/N192-116.htm,Navy - DoD,,7/1/19,
N192-117: Undersea Acoustic Risk Analysis Decision Aid for Theater Anti-Submarine Warfare (TASW) Mission Planning,https://www.navysbir.com/n19_2/N192-117.htm,Navy - DoD,,7/1/19,
N192-118: Application Level Cybersecurity Threat Detection,https://www.navysbir.com/n19_2/N192-118.htm,Navy - DoD,,7/1/19,
N192-119: Autonomous Collective Protection System (CPS),https://www.navysbir.com/n19_2/N192-119.htm,Navy - DoD,,7/1/19,
N192-120: Small-Scale Velocity Turbulence Sensors for Undersea Platforms,https://www.navysbir.com/n19_2/N192-120.htm,Navy - DoD,,7/1/19,
N192-121: Torpedo Advanced Processor Build (APB) Algorithm Development,https://www.navysbir.com/n19_2/N192-121.htm,Navy - DoD,,7/1/19,
N192-122: Spatially Integrating Magnetometer,https://www.navysbir.com/n19_2/N192-122.htm,Navy - DoD,,7/1/19,
N192-123: Food Waste Transfer System from Ship Galleys to the Ship Solid Waste Processing Equipment,https://www.navysbir.com/n19_2/N192-123.htm,Navy - DoD,,7/1/19,
N192-124: Digital Twin Technology for Naval Maintenance Training and Operations,https://www.navysbir.com/n19_2/N192-124.htm,Navy - DoD,,7/1/19,
N192-125: High Current Cooled Flexible Bus Work Systems,https://www.sbir.gov/sbirsearch/detail/1606347,Navy - DoD,,7/1/19,
N192-126: Metamaterial Devices for Photonic Systems,https://www.navysbir.com/n19_2/N192-126.htm,Navy - DoD,,7/1/19,
N192-127: High Heat Flux Thermal Management Technologies for Aluminum Decks,https://www.navysbir.com/n19_2/N192-127.htm,Navy - DoD,,7/1/19,
"N192-128: Innovative Artificial Intelligence Features to Reduce Signal Dropout due to Clipping Channel Fading and Multi-path Interference",https://www.sbir.gov/sbirsearch/detail/1606355,Navy - DoD,,7/1/19,
N192-129: Early Detection of Information Campaigns by Adversarial State and Non-State Actors,https://www.navysbir.com/n19_2/N192-129.htm,Navy - DoD,,7/1/19,
N192-130: Formable Reactive Metal Composites with Tailorable Energy Release Properties,https://www.navysbir.com/n19_2/N192-130.htm,Navy - DoD,,7/1/19,
N192-131: AI-Based Trend and Sentiment Analytics for Latent-Risk Discovery,,Navy - DoD,,7/1/19,
N192-132: Accelerating Knowledge Acquisition for Close Combat Warriors,https://www.navysbir.com/n19_2/N192-132.htm,Navy - DoD,,7/1/19,
N192-133: Advanced Non-Electrochemical Energy Storage,https://www.navysbir.com/n19_2/N192-133.htm,Navy - DoD,,7/1/19,
N192-134: Modernizing Maintenance Operations and Training,https://www.navysbir.com/n19_2/N192-134.htm,Navy - DoD,,7/1/19,
N192-135: Autonomous Flight Termination for Use in Submarine Launched Missile Applications,https://www.navysbir.com/n19_2/N192-135.htm,Navy - DoD,,7/1/19,
N192-136: Remote Analog-to-Digital Translator for Use in Submarine Launched Missile Applications,https://www.navysbir.com/n19_2/N192-136.htm,Navy - DoD,,7/1/19,
N192-137: Propulsion Monitoring for Use in Missile Space Applications,https://www.navysbir.com/n19_2/N192-137.htm,Navy - DoD,,7/1/19,
NGA192-001: Fast Digitizer for Photon Detection,https://www.sbir.gov/sbirsearch/detail/1606375,National Geospatial-Intelligence Agency - DoD,,7/1/19,
NGA192-002: Machine Learning for Enhanced Remote Nuclear Detection,https://www.sbir.gov/sbirsearch/detail/1606377,National Geospatial-Intelligence Agency - DoD,,7/1/19,
NGA192-003: Advanced Materials and Algorithms for Radiation Detection,https://www.sbir.gov/sbirsearch/detail/1606379,National Geospatial-Intelligence Agency - DoD,,7/1/19,
NGA192-004: Simulating Coherent Activity Data,https://www.sbir.gov/sbirsearch/detail/1606381,National Geospatial-Intelligence Agency - DoD,,7/1/19,
NGA192-005: Long-term Patterns of Life from Sporadic Observations,https://www.sbir.gov/sbirsearch/detail/1606383,National Geospatial-Intelligence Agency - DoD,,7/1/19,
OSD192-003: Educational Tool Development and Pilot Deployment to Facilitate Adoption of Advanced Manufacturing Technology,https://www.sbir.gov/sbirsearch/detail/1606385,Occupational Specific Dispensation - DoD,,7/1/19,
OSD192-D001: Advanced Rapid Prototyping for Systems Development,https://www.sbir.gov/sbirsearch/detail/1606387,Occupational Specific Dispensation - DoD,,7/1/19,
OSD192-D002: Cybersecurity Analysis for Critical Infrastructure Resilience,https://www.sbir.gov/sbirsearch/detail/1606389,Occupational Specific Dispensation - DoD,,7/1/19,
SCO192-001: Improvements to Weapon System Readiness Assessment Vehicles,https://www.sbir.gov/sbirsearch/detail/1606391,Strategic Capabilities Office - DoD,,7/1/19,
SOCOM192-001: Improving Human Performance Through Sleep Restoration,https://www.sbir.gov/sbirsearch/detail/1606393,Special Operations Command - DoD,,7/1/19,
SOCOM192-002: Depressurization Pump for Dry Submersibles,https://www.sbir.gov/sbirsearch/detail/1606395,Special Operations Command - DoD,,7/1/19,
SOCOM192-003: Indirect Fire Aiming Device,https://www.sbir.gov/sbirsearch/detail/1606397,Special Operations Command - DoD,,7/1/19,
SOCOM192-D004: Light Weight Wide Field of View Aviation Goggle,https://www.sbir.gov/sbirsearch/detail/1606399,Special Operations Command - DoD,,7/1/19,
A19B-T002: Universal Navigation Solution Manager,https://www.sbir.gov/sbirsearch/detail/1606403,Army - DoD,,7/1/19,
A19B-T003: Uniform Dispersion and Alignment of Short Fiber Composite Reinforcement,https://www.sbir.gov/sbirsearch/detail/1606407,Army - DoD,,7/1/19,
A19B-T004: Diamond Electron Amplifiers,https://www.sbir.gov/sbirsearch/detail/1606409,Army - DoD,,7/1/19,
A19B-T005: High-Speed Mid-Infrared Free-Space Laser Communications,https://www.sbir.gov/sbirsearch/detail/1606411,Army - DoD,,7/1/19,
A19B-T006: Isogeometric Analysis Methods for High Fidelity Mobility Applications,https://www.sbir.gov/sbirsearch/detail/1606413,Army - DoD,,7/1/19,
A19B-T007: Low Temperature Deposition of Magnetic Materials on Topological Materials,https://www.sbir.gov/sbirsearch/detail/1606415,Army - DoD,,7/1/19,
A19B-T008: Exploiting Single Nucleotide Polymorphisms for Extreme Performance,https://www.sbir.gov/sbirsearch/detail/1606417,Army - DoD,,7/1/19,
A19B-T009: Optical Grating Enhancement of MWIR Structures for High Temperature Operation,https://www.sbir.gov/sbirsearch/detail/1606419,Army - DoD,,7/1/19,
A19B-T010: Production of Natural Melanin for Affordable EMP Shielding,https://www.sbir.gov/sbirsearch/detail/1606421,Army - DoD,,7/1/19,
A19B-T011: Physical Vapor Deposition (PVD) as a Method to produce High Aspect Ratio Conductive Flakes for Advanced Bispectral or Infrared (IR) Obscuration,https://www.sbir.gov/sbirsearch/detail/1606423,Army - DoD,,7/1/19,
A19B-T012: Mobile Metal Manufacturing Technologies For Repair And Retrofit of Infrastructure Systems,https://www.sbir.gov/sbirsearch/detail/1606425,Army - DoD,,7/1/19,
A19B-T013: To Develop and Demonstrate a Technology Enabling the Detection and Quantification of Modified Nucleic Acid Bases from a Mammalian Genome such as Methylation Sites,https://www.sbir.gov/sbirsearch/detail/1606427,Army - DoD,,7/1/19,
"A19B-T014: Passive Non-powered Re-chargeable Heat Storage Systems for Cold Climate Operations",https://www.sbir.gov/sbirsearch/detail/1606429,Army - DoD,,7/1/19,
A19B-T015: Direct Hydrogen Production from Sunlight and Water,https://www.sbir.gov/sbirsearch/detail/1606431,Army - DoD,,7/1/19,
"A19B-T016: High Performance Non-flammable Lithium Battery",https://www.sbir.gov/sbirsearch/detail/1606433,Army - DoD,,7/1/19,
AF19B-T001: Open Call for Science and Technology Created by Early-Stage (e.g. University) Teams,https://www.sbir.gov/sbirsearch/detail/1606435,Air Force - DoD,,7/1/19,
AF19B-T002: Advanced Kinetic Evolution of Oxidation Resistant Structures through Additive Manufacturing,https://www.sbir.gov/sbirsearch/detail/1606437,Air Force - DoD,,7/1/19,
AF19B-T003: Fully Adaptive Radar Resource Allocation,https://www.sbir.gov/sbirsearch/detail/1606439,Air Force - DoD,,7/1/19,
AF19B-T005: Image Segmentation for Target Attitude using a Priori Knowledge,https://www.sbir.gov/sbirsearch/detail/1606441,Air Force - DoD,,7/1/19,
AF19B-T006: Information Extraction for New Emerging Noisy User-generated Micro-Text,https://www.sbir.gov/sbirsearch/detail/1606443,Air Force - DoD,,7/1/19,
AF19B-T007: Ultra-Wideband Transmission Using Sub-wavelength Antennas on Airborne Platforms,https://www.sbir.gov/sbirsearch/detail/1606445,Air Force - DoD,,7/1/19,
AF19B-T008: Networking for Wideband Links at Terahertz Frequencies,https://www.sbir.gov/sbirsearch/detail/1606449,Air Force - DoD,,7/1/19,
AF19B-T009: Multiband Equipment for Spectrum Agility (MESA),https://www.sbir.gov/sbirsearch/detail/1606451,Air Force - DoD,,7/1/19,
"AF19B-T010: Design and Develop a Methodology Framework and Tool to Assess, Simplify and Automate Cybersecurity Controls and Reporting",https://www.sbir.gov/sbirsearch/detail/1606453,Air Force - DoD,,7/1/19,
AF19B-T011: Cyber Attack Immunity for Embedded Systems,https://www.sbir.gov/sbirsearch/detail/1606455,Air Force - DoD,,7/1/19,
AF19B-T012: Tailored Supersonic Flow Fields,https://www.sbir.gov/sbirsearch/detail/1606457,Air Force - DoD,,7/1/19,
"AF19B-T013: Modern Rapid Usable Lower Order Computational Fluid Dynamics (CFD) Development for Aerodynamic Analysis",https://www.sbir.gov/sbirsearch/detail/1606459,Air Force - DoD,,7/1/19,
AF19B-T014: Improvements for Helicon Plasma Thruster Technologies,https://www.sbir.gov/sbirsearch/detail/1606461,Air Force - DoD,,7/1/19,
AF19B-T015: Low Temperature Homogeneous Epitaxy of 4H-SiC Using Novel Precursors,https://www.sbir.gov/sbirsearch/detail/1606465,Air Force - DoD,,7/1/19,
DHA19B-001: Neurofeedback Training and Hyperscanning for Mission Readiness and Return-to-Duty via Functional Near-Infrared Spectrometry (fNIRS),https://www.sbir.gov/sbirsearch/detail/1606467,Defense Health Agency - DoD,,7/1/19,
DMEA19B-001: Near Atomic Spatial Resolution Electrical Characterization,https://www.sbir.gov/sbirsearch/detail/1606469,Defense Microelectronics Activity - DoD,,7/1/19,
"DTRA19B-001: Hardened Optically-Based Temperature Characterization of Detonation Environments",https://www.sbir.gov/sbirsearch/detail/1606471, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA19B-002: Improved Identification of the function of Novel and Partially Occluded Laboratory Equipment.,https://www.sbir.gov/sbirsearch/detail/1606473, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA19B-003: Dual-Mode Fast Organic Isotopic Scintillators,https://www.sbir.gov/sbirsearch/detail/1606475, Defense Threat Reduction Agency - DoD,,7/1/19,
N19B-T025: Overall Aircraft System-of-Systems Thermal Model and Simulation Tool,https://www.sbir.gov/sbirsearch/detail/1606477,Navy - DoD,,7/1/19,
N19B-T026: Fatigue Prediction for Additive Manufactured (AM) Metallic Components,https://www.navysbir.com/n19_B/N19B-T026.htm,Navy - DoD,,7/1/19,
N19B-T027: Large Eddy Simulation (LES) Flow Solver Suitable for Modeling Conjugate Heat Transfer,https://www.navysbir.com/n19_B/N19B-T027.htm,Navy - DoD,,7/1/19,
N19B-T028: Additive Manufacturing of Inorganic Transparent Materials for Advanced Optics,https://www.sbir.gov/sbirsearch/detail/1606489,Navy - DoD,,7/1/19,
N19B-T029: Data Science Techniques for Various Mission Planning Processes and Performance Validation,https://www.navysbir.com/n19_B/N19B-T029.htm,Navy - DoD,,7/1/19,
"N19B-T030: Robust Low Permeability Water-Filled Microcapsules",https://www.navysbir.com/n19_B/N19B-T030.htm,Navy - DoD,,7/1/19,
N19B-T031: Innovations in Production of Rotorcraft Airframe Components using Advanced 3D Braiding,https://www.sbir.gov/sbirsearch/detail/1606501,Navy - DoD,,7/1/19,
N19B-T032: Strength Loss Indicator for Webbing,https://www.navysbir.com/n19_B/N19B-T032.htm,Navy - DoD,,7/1/19,
N19B-T033: Analysis and Modeling of Erosion in Gas-Turbine Grade Ceramic Matrix Composites (CMCs),https://www.sbir.gov/sbirsearch/detail/1606505,Navy - DoD,,7/1/19,
N19B-T034: Model for Surface Finish Prediction and Optimization of Metal Additively Manufactured Parts,https://www.navysbir.com/n19_B/N19B-T034.htm,Navy - DoD,,7/1/19,
N19B-T035: Universal Sensor Application Programming Interface (API) for Undersea Data,https://www.navysbir.com/n19_B/N19B-T035.htm,Navy - DoD,,7/1/19,
N19B-T036: Three Dimensional Field of Light Display,https://www.navysbir.com/n19_B/N19B-T036.htm,Navy - DoD,,7/1/19,
"Small Business Innovation Research on Rare Musculoskeletal, Rheumatic and Skin Diseases (SBIR) (R43- Clinical Trial Not Allowed)",https://www.sbir.gov/node/1607767,HHS,,7/10/19,
Digital Health Technologies to Address the Social Determinants of Health in context of Substance Use Disorders (SUD) (R41/R42 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1612387,HHS,,7/29/19,
Digital Health Technologies to Address the Social Determinants of Health in context of Substance Use Disorders (SUD) (R43/R44 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1612381,HHS,,7/29/19,
Blockchain Technology to Improve SUD Care (R41/R42- Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1608171,HHS,,7/31/19,
Blockchain Technology to Improve SUD Care (R43/R44- Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1608173,HHS,,7/31/19,
SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-19-009.html,HHS,,7/31/19,
Rapid Assessment of Drug Abuse: Smart City Tools (R43/R44- Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/rfa-da-20-021.html,HHS,,8/7/19,
Rapid Assessment of Drug Abuse: Smart City Tools (R41/R42- Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/rfa-da-20-020.html,HHS,,8/7/19,
SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer-Relevant Technologies Toward Commercialization (R44 Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-047.html,HHS,,8/9/19,
NIDDK Exploratory Clinical Trials for Small Business (R44),https://grants.nih.gov/grants/guide/pa-files/par-18-108.html,HHS,,9/5/19,
Platform Delivery Technologies for Nucleic Acid Therapeutics (R41/R42),https://www.sbir.gov/sbirsearch/detail/1194529,HHS,,9/5/19,
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R41/R42 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1405779,HHS,,9/5/19,
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R43/R44 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1405777,HHS,,9/5/19,
T2 Translational Research on Aging: Small Business Innovation Awards (R43/R44 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1405761,HHS,,9/5/19,
T1 Translational Research on Aging: Small Business Innovation Awards (R43/R44 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1405755,HHS,,9/5/19,
NIDDK Exploratory Clinical Trials for Small Business (R44 Clinical Trial Required),https://grants.nih.gov/grants/guide/pa-files/par-18-108.html,HHS,,9/5/19,
Interactive Digital Media STEM Resources for Pre-College and Informal Science Education Audiences (SBIR) (R43/R44 Clinical Trial Not Allowed),https://www.sbir.gov/sbirsearch/detail/1317757,HHS,,9/5/19,
Interactive Digital Media STEM Resources for Pre-College and Informal Science Education Audiences (STTR) (R41/R42 Clinical Trial Not Allowed),https://www.sbir.gov/sbirsearch/detail/1317753,HHS,,9/5/19,
T2 Translational Research on Aging: Small Business Innovation Awards (R43/R44),https://www.sbir.gov/node/1161735,HHS,,9/5/19,
T1 Translational Research on Aging: Small Business Innovation Awards (R43/R44),https://www.sbir.gov/node/1161739,HHS,,9/5/19,
Platform Delivery Technologies for Nucleic Acid Therapeutics (R43/R44),https://grants.nih.gov/grants/guide/pa-files/pa-14-307.html,HHS,,9/5/19,
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R43/R44),https://www.sbir.gov/sbirsearch/detail/1206131,HHS,,9/5/19,
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R41/R42),https://www.sbir.gov/sbirsearch/detail/1206137,HHS,,9/5/19,
Tools for Clinical Care and Management of Alzheimer’s Disease (AD) and its Comorbidities (R43/R44),https://www.sbir.gov/node/1206145,HHS,,9/5/19,
Tools for Clinical Care and Management of Alzheimer’s Disease (AD) and Its Comorbidities (R41/R42),https://www.sbir.gov/sbirsearch/detail/1206151,HHS,,9/5/19,
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R43/R44 Clinical Trial Optional),https://www.sbir.gov/sbirsearch/detail/1405741,HHS,,1/5/20,
Kidney Precision Medicine Project- Technology Development and Validation (R41/R42),https://www.niddk.nih.gov/research-funding/current-opportunities/pa-16-451,HHS,,1/5/20,
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R41/R42 Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/PAS-18-120.html,HHS,,1/5/20,
Lead Optimization and Preclinical Development of Therapeutic Candidates for Diseases of Interest to the NIDDK (R43/R44),https://grants.nih.gov/grants/guide/pa-files/PA-17-130.html,HHS,,1/5/20,
Development of Appropriate Pediatric Formulations and Pediatric Drug Delivery Systems (R41),https://www.sbir.gov/sbirsearch/detail/1244639,HHS,,1/5/20,
Kidney Precision Medicine Project- Technology Development and Validation (R43/R44),https://www.sbir.gov/sbirsearch/detail/1190643,HHS,,1/5/20,
"Technology to Detect Monitor and Assess Daily Functions in Individuals with Cognitive Decline Alzheimer's Disease and/or Alzheimer's Disease Related Dementias (AD/ADRD) (R43/R44 Clinical Trial Not Allowed)",https://grants.nih.gov/grants/guide/pa-files/par-18-329.html,HHS,,1/5/20,
"Technology to Detect Monitor and Assess Daily Functions in Individuals with Cognitive Decline Alzheimer's Disease and/or Alzheimer's Disease Related Dementias (AD/ADRD) (R41/R42 Clinical Trial Not Allowed)",https://grants.nih.gov/grants/guide/pa-files/par-18-329.html,HHS,,1/5/20,
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R41/R42),https://grants.nih.gov/grants/guide/pa-files/pas-18-121.html,HHS,,1/5/20,
Lead Optimization and Preclinical Development of Therapeutic Candidates for Diseases of Interest to the NIDDK (R41/R42),https://www.niddk.nih.gov/research-funding/current-opportunities/pa-17-131,HHS,,1/5/20,
Development of Highly Innovative Tools and Technology for Analysis of Single Cells (SBIR) (R43/R44),https://www.niddk.nih.gov/research-funding/current-opportunities/pa-17-147,HHS,,1/5/20,
Development of Highly Innovative Tools and Technology for Analysis of Single Cells (STTR) (R41/R42),https://grants.nih.gov/grants/guide/pa-files/PA-17-148.html,HHS,,1/5/20,
Development of Appropriate Pediatric Formulations and Pediatric Drug Delivery Systems (R43),https://www.sbir.gov/sbirsearch/detail/1244645,HHS,,1/5/20,
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R43/R44),https://grants.nih.gov/grants/guide/pa-files/PAS-18-120.html,HHS,,1/5/20,
"Methods to Improve Reproducibility of Human iPSC Derivation Growth and Differentiation (SBIR) (R44 – Clinical Trial Not Allowed)",https://www.niddk.nih.gov/research-funding/current-opportunities/rfa-gm-19-001,HHS,,1/6/20,
Assistive Technology for Persons with Alzheimer's Disease and Related Dementias and Their Caregivers (R43/R44 Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/par-18-588.html,HHS,,1/8/20,
Assistive Technology for Persons with Alzheimer's Disease and Related Dementias and Their Caregivers (R41/R42 Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/par-18-588.html,HHS,,1/8/20,
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) and their Caregivers (R43/R44)",https://www.sbir.gov/sbirsearch/detail/1405773,HHS,,4/5/20,
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) and their Caregivers (R41/R42)",https://www.sbir.gov/sbirsearch/detail/1405765,HHS,,4/5/20,
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) and their Caregivers (R43/R44 Clinical Trial Optional)",https://www.sbir.gov/node/1405771,HHS,,4/5/20,
PHS 2019-02 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-270.html,HHS,,4/6/20,
"PHS 2019-02 Omnibus Solicitation of the NIH CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Required)",https://grants.nih.gov/grants/guide/pa-files/pa-19-272.html,HHS,,4/6/20,
"PHS 2019-02 Omnibus Solicitation of the NIH CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)",https://grants.nih.gov/grants/guide/pa-files/pa-19-272.html,HHS,,4/6/20,
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) and their Caregivers (R41/R42 Clinical Trial Optional)",https://www.sbir.gov/sbirsearch/detail/1405765,HHS,,4/6/20,
PHS 2019-02 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Required,https://grants.nih.gov/grants/guide/pa-files/PA-19-270.html,HHS,,4/7/20,
Blueprint Neurotherapeutics Network (BPN): Small Molecule Drug Discovery and Development for Disorders of the Nervous System (U44),https://grants.nih.gov/grants/guide/pa-files/PAR-18-546.html,HHS,,5/7/20,
